연도,분류,합계,20세이하,21~30세,31~40세,41~50세,51~60세,61~64세,65세이상,미분류
2008,발생건수,953482,27631,160469,225824,231628,130337,23062,30913,123618
2008,사망자수,5870,237,1053,1148,1553,1034,231,559,55
2008,부상자수,1452921,37221,257060,353600,359350,200890,35218,44916,164666
2009,발생건수,977535,26308,160654,227418,239855,142064,26517,33980,120739
2009,사망자수,5838,219,1034,1136,1472,1071,274,585,47
2009,부상자수,1498344,35507,258868,358046,372982,218921,40757,50154,163109
2010,발생건수,979307,25626,155672,226605,244298,152039,28912,36595,109560
2010,사망자수,5505,214,922,1049,1399,1047,285,547,42
2010,부상자수,1533609,35862,252122,361318,383600,236671,44770,54583,164683
2011,발생건수,897271,23104,139174,208846,230357,157698,31017,37606,69469
2011,사망자수,5229,226,838,939,1214,1092,285,605,30
2011,부상자수,1434786,32856,230061,339061,366036,247727,48824,57070,113151
2012,발생건수,1133145,59171,165559,248523,270265,212361,39764,60141,77361
2012,사망자수,5392,175,759,957,1280,1178,306,718,19
2012,부상자수,1777604,86869,268455,407665,419656,321118,59439,84246,130156
2013,발생건수,1119280,53189,148317,235827,257239,217829,42592,66654,97633
2013,사망자수,5092,162,696,877,1147,1169,287,737,17
2013,부상자수,1782594,79035,240698,388469,402107,332477,63638,95025,181145
2014,발생건수,1129374,53524,146238,236266,256185,224941,46438,73691,92091
2014,사망자수,4762,170,582,757,1027,1163,291,763,9
2014,부상자수,1792235,77141,236344,388682,399239,342209,69588,105201,173831
2015,발생건수,1141925,51462,147977,233701,257490,232588,50389,80291,88027
2015,사망자수,4621,154,592,674,967,1090,325,815,4
2015,부상자수,1809461,73940,238099,384279,401294,354038,75728,115530,166553
2016,발생건수,1156474,48432,151162,232512,253444,236325,58360,86304,89935
2016,사망자수,4292,146,522,583,898,1045,338,759,1
2016,부상자수,1846937,72148,242751,384204,396808,361065,88188,125706,176067
2017,발생건수,1143175,44329,147262,221458,241787,234266,62513,116165,75395
2017,사망자수,4185,124,504,586,739,1066,317,848,1
2017,부상자수,1803325,65335,233084,361666,375185,352489,93838,173037,148691
