연도,분류,합계,승용,승합,화물,특수,이륜,원동기,기타
2008,발생건수,953482,446073,59152,82834,2130,24643,7933,330717
2008,사망자수,5870,2830,516,1346,73,517,347,241
2008,부상자수,1452921,688513,96765,129018,3496,29239,9191,496699
2009,발생건수,977535,436615,57660,71751,1751,22811,13546,373401
2009,사망자수,5838,2946,503,1224,61,504,324,276
2009,부상자수,1498344,676527,92992,112933,2932,27260,15176,570524
2010,발생건수,979307,458780,58901,69222,1601,20539,9782,360482
2010,사망자수,5505,2723,479,1266,76,434,313,214
2010,부상자수,1533609,733079,97511,108518,2591,24878,11015,556017
2011,발생건수,897271,414627,56695,64118,1442,20393,7410,332586
2011,사망자수,5229,2654,427,1121,59,429,298,241
2011,부상자수,1434786,684029,94707,99959,2355,24844,8722,520170
2012,발생건수,1133145,262005,35572,46347,2248,18348,6372,762253
2012,사망자수,5392,2680,456,1231,57,405,250,313
2012,부상자수,1777604,416358,58842,72749,3536,21134,7411,1197574
2013,발생건수,1119280,292282,55816,45939,1424,19244,6346,698229
2013,사망자수,5092,2538,373,1169,58,413,213,328
2013,부상자수,1782594,458391,89643,71289,2294,22129,7376,1131472
2014,발생건수,1129374,190065,44272,45611,918,19068,7028,822412
2014,사망자수,4762,2380,356,1073,56,392,221,284
2014,부상자수,1792235,300154,69722,70691,1442,21659,8048,1320519
2015,발생건수,1141925,194920,44774,47494,920,20427,7004,826386
2015,사망자수,4621,2329,363,996,36,401,215,281
2015,부상자수,1809461,307744,70345,73664,1434,23465,8202,1324607
2016,발생건수,1156474,176299,43105,44649,1003,21421,6370,863627
2016,사망자수,4292,2117,283,952,44,428,186,282
2016,부상자수,1846937,277217,67585,69343,1561,24752,7465,1399014
2017,발생건수,1143175,163058,39801,43658,1111,22080,4690,868777
2017,사망자수,4185,2048,286,961,29,406,121,334
2017,부상자수,1803325,253046,61731,65786,1773,25668,5530,1389791
