연도,분류,합계,차대사람,차대차,차량단독,철길건널목,기타,미분류
2008,발생건수,953482,137755,744328,36899,101,26399,8000
2008,사망자수,5870,2063,2519,1283,5,0,0
2008,부상자수,1452921,142075,1221965,49328,165,28734,10654
2009,발생건수,977535,136468,765299,39166,89,27917,8596
2009,사망자수,5838,2047,2546,1240,5,0,0
2009,부상자수,1498344,141000,1262378,52192,158,31191,11425
2010,발생건수,979307,124613,786325,38669,89,26946,2665
2010,사망자수,5505,2010,2402,1090,3,0,0
2010,부상자수,1533609,128557,1319170,51414,162,30997,3309
2011,발생건수,897271,112492,715846,36289,58,26480,6106
2011,사망자수,5229,1998,2097,1128,6,0,0
2011,부상자수,1434786,116292,1231065,47259,88,32042,8040
2012,발생건수,1133145,162914,890592,55147,9,18586,5897
2012,사망자수,5392,1977,2156,1256,3,0,0
2012,부상자수,1777604,167904,1509178,72278,12,19908,8324
2013,발생건수,1119280,161079,887682,53161,81,16038,1239
2013,사망자수,5092,1928,1933,1228,3,0,0
2013,부상자수,1782594,166125,1518620,79338,142,16943,1426
2014,발생건수,1129374,160277,902775,44168,61,20842,1251
2014,사망자수,4762,1843,1914,1005,0,0,0
2014,부상자수,1792235,165421,1535018,68088,102,22200,1406
2015,발생건수,1141925,154057,922856,40712,41,22931,1328
2015,사망자수,4621,1764,1934,922,1,0,0
2015,부상자수,1809461,158979,1561902,61246,69,25768,1497
2016,발생건수,1156474,145835,947333,39118,36,22828,1324
2016,사망자수,4292,1662,1766,864,0,0,0
2016,부상자수,1846937,150548,1608910,59426,60,26438,1555
2017,발생건수,1143175,140027,936883,40722,38,24233,1272
2017,사망자수,4185,1617,1727,840,1,0,0
2017,부상자수,1803325,144270,1577207,52179,67,28071,1531
