연도,분류,합계,일반국도,지방도,특별광역시도,시도,군도,고속국도,기타,미분류
2008,발생건수,953482,45473,19490,101861,73895,7854,6186,17036,681687
2008,사망자수,5870,1671,893,1384,1121,361,409,31,0
2008,부상자수,1452921,79638,31784,152191,114186,11545,15581,24688,1023308
2009,발생건수,977535,48209,22107,114308,77414,7544,6599,18594,682760
2009,사망자수,5838,1666,911,1449,1088,286,397,41,0
2009,부상자수,1498344,83774,35945,169818,119865,11045,16694,26866,1034337
2010,발생건수,979307,45610,21409,111381,78661,6661,7454,24137,683994
2010,사망자수,5505,1476,864,1345,1040,251,389,140,0
2010,부상자수,1533609,78725,34863,165672,122419,9874,18757,34991,1068308
2011,발생건수,897271,40945,19961,110116,82713,7273,7153,23125,605985
2011,사망자수,5229,1294,786,1264,1159,322,282,122,0
2011,부상자수,1434786,70475,32021,163681,128299,10722,17536,33383,978669
2012,발생건수,1133145,33586,62479,109936,115086,7281,11666,436205,356906
2012,사망자수,5392,1101,830,1333,1236,319,371,105,97
2012,부상자수,1777604,60144,100799,164765,178961,11041,27871,695530,538493
2013,발생건수,1119280,32648,58336,101624,131391,7039,11748,428784,347710
2013,사망자수,5092,974,751,1156,1263,347,298,144,159
2013,부상자수,1782594,58093,94375,152378,208108,10497,28245,687168,543730
2014,발생건수,1129374,31916,58624,104391,158301,7572,12369,419435,336766
2014,사망자수,4762,822,683,1133,1295,297,273,103,156
2014,부상자수,1792235,55588,94999,155360,256399,11308,29308,664670,524603
2015,발생건수,1141925,32887,58993,106738,165049,8183,13732,421704,334639
2015,사망자수,4621,860,648,1075,1289,297,241,50,161
2015,부상자수,1809461,56718,96756,157962,265135,12194,32469,667218,521009
2016,발생건수,1156474,33847,57702,103522,153266,7385,12358,429432,358962
2016,사망자수,4292,723,562,1003,1186,341,273,19,185
2016,부상자수,1846937,57303,95970,152992,253959,10990,28805,682973,563945
2017,발생건수,1143175,34445,51480,104914,153210,8614,12160,433759,344593
2017,사망자수,4185,722,571,982,1210,301,248,151,0
2017,부상자수,1803325,56707,83354,153934,251975,12489,27315,689415,528136
