연도,승용차,승합차,화물차,특수차,이륜차,건설기계,농기계
2008,49935236,4386792,12641352,213496,7257596,681012,2877140
2009,52095276,4322748,12666048,216768,7282916,700200,2671228
2010,54527076,4198900,12815232,224216,7301896,724420,2640524
2011,56545912,4061564,12905684,236332,7313248,750914,2535232
2012,58308772,3947332,12975696,250332,8373864,775564,2500634
2013,60313416,3883220,13142828,263992,8468140,802176,2463264
2014,62988684,3788048,13414732,280356,8544340,831444,2366544
2015,66246660,3681280,13731748,299852,8647096,860774,2346902
2016,69352640,3570156,13968692,321916,8722752,896158,2295978
2017,72138160,3470088,14161292,343640,8785900,937228,2259864
